,Analysis Level,District Name,ACT Dist Code,HS Name,ACT HS Code,Grad Year,N,Avg Eng,Avg Math,Avg Reading,Avg Sci,Avg Comp,CRB % Eng,CRB % Math,CRB % Reading,CRB % Sci,CRB % All Four,Avg Math Z
0,School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020.0,2015.0,43.0,22.1,23.8,24.2,22.9,23.4,77.0,72.0,63.0,56.0,51.0,1.258194243091108
2,School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020.0,2014.0,51.0,21.0,23.6,23.0,22.4,22.6,75.0,61.0,59.0,47.0,27.0,1.177152242640674
4,School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020.0,2018.0,83.0,17.7,20.7,20.2,20.1,19.8,41.0,40.0,36.0,29.0,17.0,0.002043236109376934
6,School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020.0,2017.0,86.0,19.0,22.5,21.7,21.0,21.2,56.0,56.0,51.0,41.0,33.0,0.7314212401632851
8,School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020.0,2016.0,94.0,18.1,21.1,19.4,19.7,19.7,53.0,45.0,33.0,24.0,15.0,0.16412723701024623
12,School,HILL CITY IND SCHOOL DIST 2,247004,HILL CITY SCHOOL,241105.0,2016.0,17.0,17.2,21.1,19.9,20.2,19.6,41.0,47.0,24.0,18.0,12.0,0.16412723701024623
13,School,HILL CITY IND SCHOOL DIST 2,247004,HILL CITY SCHOOL,241105.0,2017.0,17.0,17.3,19.5,19.0,19.0,18.8,29.0,29.0,18.0,18.0,12.0,-0.4842087665932281
14,School,HILL CITY IND SCHOOL DIST 2,247004,HILL CITY SCHOOL,241105.0,2018.0,17.0,16.1,17.3,17.8,17.7,17.4,24.0,12.0,24.0,12.0,6.0,-1.375670771548004
18,School,HILL CITY IND SCHOOL DIST 2,247004,HILL CITY SCHOOL,241105.0,2015.0,18.0,19.2,22.2,21.6,21.4,21.3,67.0,61.0,44.0,39.0,28.0,0.6098582394876335
20,School,MCGREGOR IND SCHOOL DIST 4,247006,MCGREGOR SCHOOL,241530.0,2015.0,10.0,21.9,22.6,23.9,24.8,23.5,80.0,50.0,70.0,60.0,40.0,0.7719422403885029
